,Dorm,Network,PID,In_degree,Out_degree,Degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reaching_centrality
6,Alondra,Persuasive,AokPyCa4Vf,1,1,0.042553191,0.021276596,0.021276596,1.17E-09,0.021276596,0.000925069,0.000925069,1,0.042553191
7,Alondra,Persuasive,B4GwtIPWEA,1,3,0.085106383,0.021276596,0.063829787,1.17E-09,0.021276596,0.003700278,0.003700278,1,0.191489362
8,Alondra,Persuasive,DFZonvMbYz,0,3,0.063829787,0,0.063829787,3.55E-11,0,0,0,0,0.234042553
9,Alondra,Persuasive,eaZChV6Zzv,0,2,0.042553191,0,0.042553191,3.55E-11,0,0,0,0,0.14893617
10,Alondra,Persuasive,EyIKgswV5h,0,1,0.021276596,0,0.021276596,3.55E-11,0,0,0,0,0.021276596
11,Alondra,Persuasive,EZZAfoTzU5,1,3,0.085106383,0.021276596,0.063829787,0.152496855,0.031914894,0.001387604,0.001387604,1.833333333,0.063829787
12,Alondra,Persuasive,f8wFyStuKA,0,2,0.042553191,0,0.042553191,3.55E-11,0,0,0,0,0.14893617
13,Alondra,Persuasive,FmEtaLdyUP,0,6,0.127659574,0,0.127659574,3.55E-11,0,0,0,0,0.191489362
14,Alondra,Persuasive,GRS7z5mppv,0,1,0.021276596,0,0.021276596,3.55E-11,0,0,0,0,0.021276596
15,Alondra,Persuasive,iltQcVLnHa,2,3,0.106382979,0.042553191,0.063829787,2.31E-09,0.042553191,0.00177305,0.00177305,2,0.063829787
16,Alondra,Persuasive,jde0LtXmui,2,1,0.063829787,0.042553191,0.021276596,1.99E-08,0.04787234,0.000925069,0.000925069,2.5,0.021276596
17,Alondra,Persuasive,jnK5jx7q06,8,2,0.212765957,0.170212766,0.042553191,0.152497145,0.199468085,0.014107308,0.014107308,11.16666667,0.063829787
18,Alondra,Persuasive,mU5Bm0IA5I,0,1,0.021276596,0,0.021276596,3.55E-11,0,0,0,0,0.021276596
19,Alondra,Persuasive,MVj5KiRVic,0,3,0.063829787,0,0.063829787,3.55E-11,0,0,0,0,0.127659574
20,Alondra,Persuasive,ORnEt9oGFG,0,2,0.042553191,0,0.042553191,3.55E-11,0,0,0,0,0.212765957
21,Alondra,Persuasive,Otj5ACG4Eq,0,4,0.085106383,0,0.085106383,3.55E-11,0,0,0,0,0.127659574
22,Alondra,Persuasive,QQfFuXBOBe,2,1,0.063829787,0.042553191,0.021276596,0.152496856,0.048355899,0.000462535,0.000462535,3.083333333,0.021276596
23,Alondra,Persuasive,RTkwouHacL,1,4,0.106382979,0.021276596,0.085106383,1.17E-09,0.021276596,0.001310515,0.001310515,1,0.085106383
24,Alondra,Persuasive,SlopF1tw7Q,0,3,0.063829787,0,0.063829787,3.55E-11,0,0,0,0,0.170212766
25,Alondra,Persuasive,vcM4I7ahKq,1,6,0.14893617,0.021276596,0.127659574,0.152496855,0.028368794,0.005319149,0.005319149,1.5,0.14893617
26,Alondra,Persuasive,x4uS8bnzwc,0,1,0.021276596,0,0.021276596,3.55E-11,0,0,0,0,0.063829787
27,Alondra,Persuasive,XzE2YEAeBB,0,3,0.063829787,0,0.063829787,3.55E-11,0,0,0,0,0.127659574
28,Alondra,Persuasive,zCezlMpAcO,1,3,0.085106383,0.021276596,0.063829787,0.152496855,0.021276596,0.005550416,0.005550416,1,0.340425532
29,Alondra,Persuasive,ZkLlaLrQkh,4,1,0.106382979,0.085106383,0.021276596,0.152499368,0.182877406,0.002775208,0.002775208,10.33333333,0.021276596
30,Alondra,Persuasive,2UK6dKygn0,9,0,0.191489362,0.191489362,0,0.610004438,0.293530178,0,0,16.5,0
31,Alondra,Persuasive,2t2sqsHVqv,2,0,0.042553191,0.042553191,0,2.31E-09,0.042553191,0,0,2,0
32,Alondra,Persuasive,3gEiO3Vvhw,1,0,0.021276596,0.021276596,0,0.152497137,0.101317123,0,0,5.166666667,0
33,Alondra,Persuasive,5vMCkzEp51,1,0,0.021276596,0.021276596,0,1.17E-09,0.021276596,0,0,1,0
34,Alondra,Persuasive,6jHJKaD4Cb,7,0,0.14893617,0.14893617,0,0.457490605,0.160904255,0,0,8.833333333,0
35,Alondra,Persuasive,7dUYGwkxk4,2,0,0.042553191,0.042553191,0,0.30499371,0.04787234,0,0,2.5,0
36,Alondra,Persuasive,ADOSSQSk8L,2,0,0.042553191,0.042553191,0,0.152496856,0.048632219,0,0,2.833333333,0
37,Alondra,Persuasive,DVHOpKeyEt,4,0,0.085106383,0.085106383,0,5.74E-08,0.095744681,0,0,5,0
38,Alondra,Persuasive,G2qsfXrosA,1,0,0.021276596,0.021276596,0,1.17E-09,0.021276596,0,0,1,0
39,Alondra,Persuasive,J3aYRG5EAA,1,0,0.021276596,0.021276596,0,0.152499312,0.136170213,0,0,7.166666667,0
40,Alondra,Persuasive,KG9AbMggIn,3,0,0.063829787,0.063829787,0,0.152496857,0.068085106,0,0,3.5,0
41,Alondra,Persuasive,MZPimS5BLn,1,0,0.021276596,0.021276596,0,1.17E-09,0.021276596,0,0,1,0
42,Alondra,Persuasive,Nv6B58pDzQ,3,0,0.063829787,0.063829787,0,2.15E-07,0.075987842,0,0,4,0
43,Alondra,Persuasive,OgZz67fyqj,1,0,0.021276596,0.021276596,0,1.17E-09,0.021276596,0,0,1,0
44,Alondra,Persuasive,QaBLfwCjtz,1,0,0.021276596,0.021276596,0,0.152496855,0.031914894,0,0,1.833333333,0
45,Alondra,Persuasive,d3eaPDsH4T,1,0,0.021276596,0.021276596,0,0.152496855,0.028368794,0,0,1.5,0
46,Alondra,Persuasive,sqe3lI93Us,1,0,0.021276596,0.021276596,0,1.88E-08,0.028368794,0,0,1.5,0
47,Alondra,Persuasive,yO9lkWPQCC,1,0,0.021276596,0.021276596,0,1.88E-08,0.028368794,0,0,1.5,0
0,Alondra,PosAffPres,1PyAtD1gRL,7,6,0.245283019,0.132075472,0.113207547,0.238424619,0.216181644,0.038280116,0.037947508,14.25,0.735849057
1,Alondra,PosAffPres,1zOMoNHmg9,0,5,0.094339623,0,0.094339623,3.54E-25,0,0,0,0,0.79245283
2,Alondra,PosAffPres,3hqUkuC5Qn,1,1,0.037735849,0.018867925,0.018867925,0.068484197,0.158100195,0.004354136,0.004354136,9.716666667,0.018867925
3,Alondra,PosAffPres,6jHJKaD4Cb,5,6,0.20754717,0.094339623,0.113207547,0.094790447,0.170062893,0.05939163,0.059385583,11.95,0.735849057
4,Alondra,PosAffPres,7mbIhjLfDt,6,6,0.226415094,0.113207547,0.113207547,0.199041804,0.212578616,0.083472424,0.083242622,14.2,0.735849057
